productId,sku,slug,title,description,price,compareAtPrice,image,imageAlt,category,subcategory,unit,stock,availability,featured,active,tags,variantId,variantLabel,variantImage,externalUrl,variableWeight,gallery
prod-001,VEG-001,vine-tomatoes,Vine tomatoes,"For salads, sandwiches, and the start of a good sauce.",180,,/images/products/tomatoes-rich.webp,Vine tomatoes,vegetables,everyday-vegetables,500 g,,available,true,true,vegetables|everyday-vegetables,prod-001-standard,500 g,,,true,/images/products/tomatoes.webp
prod-001,VEG-001-L,vine-tomatoes,Vine tomatoes,"For salads, sandwiches, and the start of a good sauce.",360,,/images/products/tomatoes-rich.webp,Vine tomatoes,vegetables,everyday-vegetables,1 kg,,available,true,true,vegetables|everyday-vegetables,prod-001-large,1 kg,,,true,/images/products/tomatoes.webp
prod-002,FRU-002,hass-avocados,Hass avocados,"Slice onto toast, tuck into a sandwich, or mash with a squeeze of lemon.",420,,/images/products/avocado-rich.webp,Hass avocados,fruit,everyday-fruit,2 pieces,,available,true,true,fruit|everyday-fruit,,,,,false,/images/products/avocado.webp
prod-003,BAK-003,sourdough-loaf,Sourdough loaf,A good reason to make soup. An even better reason to make toast.,650,,/images/products/bread-rich.webp,Sourdough loaf,bakery,bread,1 loaf,,available,true,true,bakery|bread,,,,,false,/images/products/bread.webp
prod-004,DAI-004,everyday-eggs,Everyday eggs,"Scrambled, baked, or sunny side up. Make breakfast your own.",360,,/images/products/eggs.webp,Everyday eggs,dairy-eggs,eggs,6 pieces,,available,true,true,dairy-eggs|eggs,,,,,false,
prod-005,VEG-005,carrots-with-tops,Carrots with tops,Roast with dinner or chop into something warming.,160,,/images/products/carrots.webp,Carrots with tops,vegetables,everyday-vegetables,500 g,,available,true,true,vegetables|everyday-vegetables,prod-005-standard,500 g,,,true,
prod-005,VEG-005-L,carrots-with-tops,Carrots with tops,Roast with dinner or chop into something warming.,320,,/images/products/carrots.webp,Carrots with tops,vegetables,everyday-vegetables,1 kg,,available,true,true,vegetables|everyday-vegetables,prod-005-large,1 kg,,,true,
prod-006,FRU-006,red-apples,Red apples,One for the fruit bowl. One for your bag.,320,,/images/products/apple.webp,Red apples,fruit,everyday-fruit,1 kg,,available,true,true,fruit|everyday-fruit,prod-006-standard,1 kg,,,true,
prod-006,FRU-006-L,red-apples,Red apples,One for the fruit bowl. One for your bag.,640,,/images/products/apple.webp,Red apples,fruit,everyday-fruit,2 kg,,available,true,true,fruit|everyday-fruit,prod-006-large,2 kg,,,true,
prod-007,VEG-007,crisp-cucumbers,Crisp cucumbers,Slice for a salad or a quick lunchtime sandwich.,120,,/images/products/cucumber.webp,Crisp cucumbers,vegetables,everyday-vegetables,500 g,,available,true,true,vegetables|everyday-vegetables,,,,,true,
prod-008,DAI-008,breakfast-milk,Breakfast milk,For the first cup of tea and the last bowl of cereal.,290,,/images/products/milk.webp,Breakfast milk,dairy-eggs,milk,1 litre,,available,true,true,dairy-eggs|milk,,,,,false,
prod-009,FRU-009,lemons,Lemons,"A squeeze for your salad, a slice for your water.",150,,/images/products/lemon.webp,Lemons,fruit,citrus,4 pieces,,available,false,true,fruit|citrus,,,,,false,
prod-010,FRU-010,strawberries,Strawberries,A bowlful for breakfast or something sweet after dinner.,480,,/images/products/strawberry.webp,Strawberries,fruit,seasonal-fruit,250 g,,available,false,true,fruit|seasonal-fruit,,,,,false,
prod-011,FRU-011,kiwi-fruit,Kiwi fruit,Scoop with a spoon or add a little green to your fruit salad.,390,,/images/products/kiwi.webp,Kiwi fruit,fruit,everyday-fruit,4 pieces,,available,false,true,fruit|everyday-fruit,,,,,false,
prod-012,FRU-012,mulberries,Mulberries,For a bowl of yogurt or a handful on their own.,350,,/images/products/mulberry.webp,Mulberries,fruit,seasonal-fruit,250 g,0,unavailable,false,true,fruit|seasonal-fruit,,,,,false,
prod-013,FRU-013,bananas,Bananas,"Breakfast, lunchboxes, or that loaf you have been meaning to bake.",240,,/images/products/bananas.webp,Bananas,fruit,everyday-fruit,6 pieces,,available,false,true,fruit|everyday-fruit,,,,,false,
